[1] авария | 名词 | 单数:主格 авария,属格 аварии,与格 аварии,宾格 аварию,工具格 аварией,前格 об аварии;复数:主格 аварии,属格 аварий,与格 авариям,宾格 аварии,工具格 авариями,前格 об авариях
[2] август | 名词 | 单数:主格 август,属格 августа,与格 августу,宾格 август,工具格 августом,前格 об августе;复数:主格 августы,属格 августов,与格 августам,宾格 августы,工具格 августами,前格 об августах
[3] автобиография | 名词 | 单数:主格 автобиография,属格 автобиографии,与格 автобиографии,宾格 автобиографию,工具格 автобиографией,前格 об автобиографии;复数:主格 автобиографии,属格 автобиографий,与格 автобиографиям,宾格 автобиографии,工具格 автобиографиями,前格 об автобиографиях
[4] автомобиль | 名词 | 单数:主格 автомобиль,属格 автомобиля,与格 автомобилю,宾格 автомобиль,工具格 автомобилем,前格 об автомобиле;复数:主格 автомобили,属格 автомобилей,与格 автомобилям,宾格 автомобили,工具格 автомобилями,前格 об автомобилях
[5] автоответчик | 名词 | 单数:主格 автоответчик,属格 автоответчика,与格 автоответчику,宾格 автоответчик,工具格 автоответчиком,前格 об автоответчике;复数:主格 автоответчики,属格 автоответчиков,与格 автоответчикам,宾格 автоответчики,工具格 автоответчиками,前格 об автоответчиках
[6] автор | 名词 | 单数:主格 автор,属格 автора,与格 автору,宾格 автора,工具格 автором,前格 об авторе;复数:主格 авторы,属格 авторов,与格 авторам,宾格 авторов,工具格 авторами,前格 об авторах
[7] агальматолит | 名词 | 单数:主格 агальматолит,属格 агальматолита,与格 агальматолиту,宾格 агальматолит,工具格 агальматолитом,前格 об агальматолите;复数:主格 агальматолиты,属格 агальматолитов,与格 агальматолитам,宾格 агальматолиты,工具格 агальматолитами,前格 об агальматолитах
[8] адаптация | 名词 | 单数:主格 адаптация,属格 адаптации,与格 адаптации,宾格 адаптацию,工具格 адаптацией,前格 об адаптации;复数:主格 адаптации,属格 адаптаций,与格 адаптациям,宾格 адаптации,工具格 адаптациями,前格 об адаптациях
[9] адвокат | 名词 | 单数:主格 адвокат,属格 адвоката,与格 адвокату,宾格 адвоката,工具格 адвокатом,前格 об адвокате;复数:主格 адвокаты,属格 адвокатов,与格 адвокатам,宾格 адвокатов,工具格 адвокатами,前格 об адвокатах
[10] администратор | 名词 | 单数:主格 администратор,属格 администратора,与格 администратору,宾格 администратора,工具格 администратором,前格 об администраторе;复数:主格 администраторы,属格 администраторов,与格 администраторам,宾格 администраторов,工具格 администраторами,前格 об администраторах
[11] администрация | 名词 | 单数:主格 администрация,属格 администрации,与格 администрации,宾格 администрацию,工具格 администрацией,前格 об администрации;复数:主格 администрации,属格 администраций,与格 администрациям,宾格 администрации,工具格 администрациями,前格 об администрациях
[12] академик | 名词 | 单数:主格 академик,属格 академика,与格 академику,宾格 академика,工具格 академиком,前格 об академике;复数:主格 академики,属格 академиков,与格 академикам,宾格 академиков,工具格 академиками,前格 об академиках
[13] академия | 名词 | 单数:主格 академия,属格 академии,与格 академии,宾格 академию,工具格 академией,前格 об академии;复数:主格 академии,属格 академий,与格 академиям,宾格 академии,工具格 академиями,前格 об академиях
[14] акт | 名词 | 单数:主格 акт,属格 акта,与格 акту,宾格 акт,工具格 актом,前格 об акте;复数:主格 акты,属格 актов,与格 актам,宾格 акты,工具格 актами,前格 об актах
[15] актер | 名词 | 单数:主格 актёр,属格 актёра,与格 актёру,宾格 актёра,工具格 актёром,前格 об актёре;复数:主格 актёры,属格 актёров,与格 актёрам,宾格 актёров,工具格 актёрами,前格 об актёрах
[16] акунин | 名词 | 单数:主格 акунин,属格 акунина,与格 акунину,宾格 акунина,工具格 акуниным,前格 об акунине;复数:主格 акунины,属格 акуниных,与格 акуниным,宾格 акуниных,工具格 акуниными,前格 об акуниных
[17] акцент | 名词 | 单数:主格 акцент,属格 акцента,与格 акценту,宾格 акцент,工具格 акцентом,前格 об акценте;复数:主格 акценты,属格 акцентов,与格 акцентам,宾格 акценты,工具格 акцентами,前格 об акцентах
[18] александр | 名词 | 单数:主格 александр,属格 александра,与格 александру,宾格 александра,工具格 александром,前格 об александре;复数:主格 александры,属格 александров,与格 александрам,宾格 александров,工具格 александрами,前格 об александрах
[19] алексей | 名词 | 单数:主格 алексей,属格 алексея,与格 алексею,宾格 алексея,工具格 алексеем,前格 об алексее;复数:主格 алексеи,属格 алексеев,与格 алексеям,宾格 алексеев,工具格 алексеями,前格 об алексеях
[20] алкоголь | 名词 | 单数:主格 алкоголь,属格 алкоголя,与格 алкоголю,宾格 алкоголь,工具格 алкоголем,前格 об алкоголе;复数:主格 алкоголи,属格 алкоголей,与格 алкоголям,宾格 алкоголи,工具格 алкоголями,前格 об алкоголях
[21] алмаз | 名词 | 单数:主格 алмаз,属格 алмаза,与格 алмазу,宾格 алмаз,工具格 алмазом,前格 об алмазе;复数:主格 алмазы,属格 алмазов,与格 алмазам,宾格 алмазы,工具格 алмазами,前格 об алмазах
[22] альпинист | 名词 | 单数:主格 альпинист,属格 альпиниста,与格 альпинисту,宾格 альпиниста,工具格 альпинистом,前格 об альпинисте;复数:主格 альпинисты,属格 альпинистов,与格 альпинистам,宾格 альпинистов,工具格 альпинистами,前格 об альпинистах
[23] америка | 名词 | 单数:主格 америка,属格 америки,与格 америке,宾格 америку,工具格 америкой,前格 об америке;复数:主格 америка,属格 америка,与格 америка,宾格 америка,工具格 америка,前格 об америка
[24] американский | 形容词 | 短尾:—,—,—,—;比较级:—
[25] английский | 形容词 | 短尾:—,—,—,—;比较级:—
