[1] авария | 名词 | 事故；故障；失事
[2] адаптироваться | 动词 | 适应；调适
[3] академик | 名词 | 院士
[4] англичанин | 名词 | 英国人；英国男人
[5] архитектура | 名词 | 建筑（学）；建筑风格
[6] бедный | 形容词 | 贫穷的；可怜的
[7] бедствие | 名词 | 灾难；不幸
[8] безопасность | 名词 | 安全
[9] белка | 名词 | 松鼠
[10] белок | 名词 | 蛋白质；蛋白；眼白
[11] биологический | 名词 | 生物的；生物学的
[12] бить | 动词 | 打；敲；击
[13] болезнь | 名词 | 疾病
[14] болото | 名词 | 沼泽
[15] бояться | 动词 | 害怕；畏惧
[16] бронировать | 动词 | 预订；装甲
[17] бывать | 动词 | 常到；有时在
[18] веселый | 形容词 | 快乐的；令人愉快的
[19] взять | 动词 | 拿；取；借
[20] включать | 动词 | 打开；包括
[21] властный | 形容词 | 权力的；专横的
[22] внешность | 名词 | 外貌；外表
[23] во-вторых | 名词 | 第二；其次
[24] возможный | 形容词 | 可能的
[25] воображение | 名词 | 想象（力）
[26] ворота | 名词 | 大门；球门
[27] воспитать | 动词 | 教育；培养
[28] восстанавливать | 动词 | 恢复；修复
[29] всмотреться | 动词 | 细看；端详
[30] выглядеть | 动词 | 看起来；显得
[31] выступать | 动词 | 发言；表演；走出
[32] голод | 名词 | 饥饿
[33] голос | 名词 | 声音；嗓音
[34] гора | 名词 | 山
[35] гостиница | 名词 | 旅馆；酒店
[36] готовить | 动词 | 准备；烹饪
[37] грязь | 名词 | 脏；泥泞
[38] да | 连词 | 是的；和（连接词）
[39] дальний | 形容词 | 远的；远距离的
[40] дарить | 动词 | 赠送；献
[41] дважды | 副词 | 两次；两倍
[42] двести | 数词 | 二百
[43] девочка | 名词 | 女孩
[44] декан | 名词 | 系主任
[45] деревня | 名词 | 乡村；村庄
[46] деталь | 名词 | 零件；细节
[47] дискуссия | 名词 | 讨论；辩论
[48] дорогой | 形容词 | 贵的；亲爱的
[49] дочь | 名词 | 女儿
[50] дышать | 动词 | 呼吸
[51] дядя | 名词 | 叔叔；伯伯；舅舅
[52] еда | 名词 | 食物
[53] жаль | 副词 | 可惜；遗憾
[54] животное | 名词 | 动物
[55] жилой | 形容词 | 居住的；住宅的
[56] за | 前置词 | 在…之后；为了；在…外
[57] забывать | 动词 | 忘记
[58] зависеть | 动词 | 取决于；依赖
[59] завтра | 副词 | 明天
[60] заголовок | 名词 | 标题；抬头
[61] задание | 名词 | 任务；作业
[62] задать | 动词 | 提出；给定
[63] задуматься | 动词 | 沉思；陷入思考
[64] замуж | 副词 | 出嫁；嫁人
[65] замужем | 形容词 | 已出嫁的；已婚的
[66] засмотреться | 动词 | 看得出神
[67] зачем | 副词 | 为什么；干吗
[68] зачитываться | 动词 | 读得入迷
[69] зеленый | 形容词 | 绿色的；未成熟的
[70] зеркало | 名词 | 镜子
[71] злой | 形容词 | 凶的；恶的；生气的
[72] играть | 动词 | 玩；演奏；扮演
[73] известный | 形容词 | 著名的；已知的
[74] икона | 名词 | 圣像；图标
[75] исключительно | 副词 | 极其；例外地
[76] итак | 连词 | 于是；这样一来
[77] как-то | 副词 | 不知怎么；有点
[78] каникулы | 名词 | 假期；休假
[79] карточка | 名词 | 卡片；名片
[80] кафедра | 名词 | 讲台；教研室
[81] класть | 动词 | 放；搁
[82] компромисс | 名词 | 妥协；折中
[83] конкретный | 形容词 | 具体的
[84] конституция | 名词 | 宪法；体质
[85] красный | 形容词 | 红色的；革命的
[86] культура | 名词 | 文化；栽培
[87] лифт | 名词 | 电梯
[88] лыжник | 名词 | 滑雪者
[89] любой | 形容词 | 任何的；任意的
[90] масло | 名词 | 油；黄油
[91] материальный | 形容词 | 物质的；材料的
[92] международный | 形容词 | 国际的
[93] метод | 名词 | 方法
[94] мозг | 名词 | 脑；头脑
[95] молоко | 名词 | 牛奶
[96] монолог | 名词 | 独白
[97] мясо | 名词 | 肉
[98] народ | 名词 | 人民；民族
[99] насморк | 动词 | 患鼻塞；流鼻涕
[100] наступать | 动词 | 来临；进攻
[101] наука | 名词 | 科学
[102] научный | 形容词 | 科学的
[103] находиться | 动词 | 位于；处于
