[1] государь | 名词 | 君主；沙皇（旧称）；陛下（尊称）
[2] лапша | 名词 | 面条；粉条
[3] русскийязык | 名词 | 俄语；俄罗斯语言（русский язык）
[4] абонемент | 名词 | 月票；预约券；长期票
[5] авиа | 其他 | 航空（构词成分，如 авиация）
[6] авторский | 形容词 | 作者的；著作的；原创的
[7] альпы | 专有名词 | 阿尔卑斯山
[8] альт | 名词 | 中提琴；男声最高音（阿尔托）
[9] атлантическийокеан | 专有名词 | 大西洋（Атлантический океан）
[10] баранка | 名词 | 方向盘（口语）；面包圈
[11] башка | 名词 | 头（俗语）；脑袋
[12] беспорядочный | 形容词 | 无序的；杂乱的；混乱的
[13] беспрецедентный | 形容词 | 空前的；无先例的
[14] бетховен | 专有名词 | 贝多芬（作曲家）
[15] благоприятный | 形容词 | 有利的；良好的；顺利的
[16] ближе | 副词 | 更近；比较近
[17] блины | 名词 | 薄饼；煎饼
[18] бытие | 名词 | 存在；生存；生命
[19] бюрократизм | 名词 | 官僚主义；官僚作风
[20] валютныйкурс | 名词 | 汇率（валютный курс）
[21] ваня | 专有名词 | 瓦尼亚（伊万的小名）
[22] вблизи | 副词 | 在附近；邻近
[23] вежливый | 形容词 | 有礼貌的；客气的
[24] великодушие | 名词 | 宽宏大量；高尚
[25] вена | 名词 | 维也纳（奥地利首都）；静脉
[26] взятка | 名词 | 贿赂；受贿
[27] винодел | 名词 | 酿酒人；葡萄酒酿造者
[28] виноделие | 名词 | 葡萄酒酿造；酿酒业
[29] вкусный | 形容词 | 美味的；可口的
[30] вознаграждение | 名词 | 报酬；奖赏；补偿
[31] вольный | 形容词 | 自由的；无拘束的
[32] времяпрепровождение | 名词 | 消遣；度时间
[33] вто | 专有名词 | 世界贸易组织（ВТО，WTO）
[34] выведывать | 动词 | 探听；打听；侦察
[35] выполненный | 形容词 | 完成的；执行的（被动形动词转形容词）
[36] выпроводить | 动词 | 把…打发走；送走
[37] вянуть | 动词 | 枯萎；凋谢；衰弱
[38] гастроли | 名词 | 巡回演出；巡演
[39] гениальный | 形容词 | 天才的；绝妙的
[40] главнаястраница | 名词 | 主页（главная страница）
[41] гласный | 形容词 | 公开的；元音的（亦作名词“元音”）
[42] глубже | 副词 | 更深；比较深
[43] горько | 副词 | 苦；痛苦地
[44] грамотный | 形容词 | 识字的；有文化的；内行的
[45] густонаселенный | 形容词 | 人口稠密的
[46] даритель | 名词 | 赠予人；捐赠者
[47] двуглавый | 形容词 | 双头的
[48] деньрождения | 名词 | 生日（день рождения）
[49] дешевле | 副词 | 更便宜；比较便宜
[50] диалект | 名词 | 方言；土语
[51] диалектизм | 名词 | 方言词；方言成分
[52] динамо | 名词 | 直流发电机；发电机
[53] добросовестный | 形容词 | 尽职的；认真的；诚恳的
[54] добрыйдень | 其他 | 日安；你好（问候语 добрый день）
[55] доказательство | 名词 | 证据；证明
[56] документальныйфильм | 名词 | 纪录片（документальный фильм）
[57] долгожитель | 名词 | 长寿者；老寿星
[58] долголетие | 名词 | 长寿；长命
[59] дольше | 副词 | 更久；比较久
[60] дороже | 副词 | 更贵；比较贵
[61] достаточный | 形容词 | 足够的；充分的
[62] есфирь | 专有名词 | 以斯帖（女性名，Эсфирь）
[63] жесткийдиск | 名词 | 硬盘（жёсткий диск）
[64] живописный | 形容词 | 风景优美的；绘画般的
[65] завезенный | 形容词 | 运来的；输入的（被动形动词转形容词）
[66] загнутый | 形容词 | 弯起的；折起的（被动形动词转形容词）
[67] зазубрить | 动词 | 死记硬背；记住
[68] закреплять | 动词 | 加固；固定；确立
[69] замкнуть | 动词 | 闭合；接通（电路）；封锁
[70] замолкать | 动词 | 沉默下来；停止说话
[71] запереть | 动词 | 锁上；关押
[72] запускать | 动词 | 启动；发射；使运转
[73] застрять | 动词 | 陷住；卡住；逗留
[74] затворник | 名词 | 隐士；闭门不出的人
[75] зачеркивать | 动词 | 勾掉；删去
[76] злодей | 名词 | 恶人；坏人；反派
[77] избирать | 动词 | 选举；选择
[78] изваяние | 名词 | 雕像；塑像
[79] извините | 动词 | 对不起；请原谅（命令式）
