[1] продлитьпребывание | 动词 | 延长停留（продлить пребывание）
[2] проектнаяорганизация | 名词 | 设计机构；项目单位（проектная организация）
[3] производитьплатеж | 动词 | 付款；进行支付（производить платёж）
[4] пропускнавыезд | 名词 | 出境通行证（пропуск на выезд）
[5] проректор | 名词 | 副校长（大学）
[6] просидеть | 动词 | 坐（若干时间）；久坐
[7] просроченнаяпоставка | 名词 | 逾期供货（просроченная поставка）
[8] пунктназначения | 名词 | 目的地（пункт назначения）
[9] пунктперехода | 名词 | 过境点；换乘点（пункт перехода）
[10] пустоетакси | 名词 | 空驶出租车（пустое такси）
[11] рабочаянагрузка | 名词 | 工作负荷（рабочая нагрузка）
[12] рабочеевремя | 名词 | 工作时间（рабочее время）
[13] размещениезаказа | 名词 | 下单；订单安排（размещение заказа）
[14] разработатьплан | 动词 | 制定计划（разработать план）
[15] распознаться | 动词 | 认错；认出（误认时）
[16] распределениеприбыли | 名词 | 利润分配（распределение прибыли）
[17] расчетныйчас | 名词 | 结账时间；结算时刻（расчётный час）
[18] реканева | 专有名词 | 涅瓦河（река Нева）
[19] рекаянцзы | 专有名词 | 长江（река Янцзы）
[20] рекламатуров | 名词 | 旅游广告（реклама туров）
[21] рекламныйматериал | 名词 | 广告材料（рекламный материал）
[22] розыскбагажа | 名词 | 行李查找（розыск багажа）
[23] роскошныйбанкет | 名词 | 豪华宴会（роскошный банкет）
[24] ручнаякладь | 名词 | 手提行李（ручная кладь）
[25] рыночныецены | 名词 | 市场价（рыночные цены）
[26] сднемвосьмогомарта | 其他 | 三八妇女节快乐（с днём восьмого марта）
[27] сднемпобеды | 其他 | 胜利日快乐（с днём Победы）
[28] сднемрождения | 其他 | 生日快乐（с днём рождения）
[29] сженитьбой | 其他 | 祝贺新婚（с женитьбой）
[30] сзамужеством | 其他 | 祝贺出嫁（с замужеством）
[31] сновымгодом | 其他 | 新年快乐（с Новым годом）
[32] спраздником | 其他 | 节日快乐（с праздником）
[33] срадостью | 其他 | 很高兴；乐意地（с радостью）
[34] срождениемребенка | 其他 | 祝贺生子（с рождением ребёнка）
[35] судовольствием | 其他 | 乐意地；不客气（с удовольствием）
[36] ссо | 其他 | 词形残缺，待人工核对
[37] свободноетакси | 名词 | 空车；空载出租（свободное такси）
[38] свободныйномер | 名词 | 空房（свободный номер）
[39] свободныйстолик | 名词 | 空桌（свободный столик）
[40] сдатьбельевчистку | 动词 | 送洗（сдать бельё в чистку）
