序号	词形	词元	词性
1	авиценна	авиценный	形容词
2	автовладельцев	автовладелец	名词
3	автопарада	автопарад	名词
4	адвокатка	адвокатка	
5	азовское	азовский	形容词
6	айтишников	айтишник	名词
7	алле	алла	名词
8	альше	альша	名词
9	анализируется	анализироваться	动词
10	андскую	андский	形容词
11	аниматором	аниматор	名词
12	анимационного	анимационный	形容词
13	анисин	анисин	名词
14	аннигилятор	аннигилятор	名词
15	аннулируется	аннулироваться	动词
16	антиплагиат	антиплагиат	名词
17	антонимические	антонимический	形容词
18	ароматизаторы	ароматизатор	名词
19	арт-пряников	арт-пряник	名词
20	арт-фартуков	арт-фартук	名词
21	архангельского	архангельский	形容词
22	аскания-нова	аскания-новый	形容词
23	астек	астек	名词
24	атесы	атесы	
25	аудио	аудио	名词
26	аудиозадание	аудиозадание	名词
27	аудиотекста	аудиотекста	
28	аудиотексты	аудиотекст	名词
29	бажов	баж	名词
30	баксанского	баксанский	形容词
31	бантиком	бантик	名词
32	беждение	беждение	名词
33	безотходное	безотходный	形容词
34	безпарный	безпарный	形容词
35	бермудского	бермудский	形容词
36	беспредложные	беспредложный	形容词
37	билайн	билайн	名词
38	биотехнологом	биотехнолог	名词
39	битовым	битовый	形容词
40	блогера	блогер	名词
41	блокбастеры	блокбастер	名词
42	богородицкого	богородицкий	形容词
43	бодунков	бодунковы	名词
44	братьев-карбонариев	брат-карбонарий	名词
45	брачующиеся	брачуяться	动词
46	британо-российским	британо-российский	形容词
47	букингемский	букингемский	形容词
48	варадеро	варадеро	名词
49	ве	ве	
50	вележ	вележ	名词
51	весенне-летние	весенне-летний	形容词
52	ветлечебницы	ветлечебница	名词
53	взаимоисключения	взаимоисключение	名词
54	взлюбила	взлюбить	动词
55	взросление	взросление	名词
56	видеохостинг	видеохостинг	名词
57	видовременных	видовременный	形容词
58	видывал	видывать	动词
59	винзавод	винзавод	名词
60	винтик	винтик	名词
61	владивостокского	владивостокский	形容词
62	вложиться	вложиться	动词
63	внедряется	внедряться	动词
64	возмичныенявм	возмичныенявма	名词
65	волго-донской	волго-донский	形容词
66	воспитался	воспитаться	动词
67	воссоздается	воссоздаваться	动词
68	востребованность	востребованность	名词
69	впечатлен	впечатлить	动词
70	вседозволенность	вседозволенность	名词
71	встраиваться	встраиваться	动词
72	вузовским	вузовский	形容词
73	выключается	выключаться	动词
74	вынужденности	вынужденность	名词
75	выпался	выпаться	动词
76	выплыво	выплывый	形容词
77	выработался	выработаться	动词
78	выруливается	выруливаться	动词
79	высевают	высевать	动词
80	высекаются	высекаться	动词
81	гаджетах	гаджет	名词
82	газетно-публицистическом	газетно-публицистический	形容词
83	гарбо	гарбо	副词
84	гарвардское	гарвардский	形容词
85	гарибальди	гарибальдь	名词
86	гастарбайтеров	гастарбайтер	名词
87	гендерного	гендерный	形容词
88	гесером	гесерый	形容词
89	гии	гии	
90	гиллельса	гиллельс	名词
91	гиперборейского	гиперборейский	形容词
92	глагольно-именные	глагольно-именной	形容词
93	глагольности	глагольность	名词
94	глобализация	глобализация	名词
95	гмии	гмии	名词
96	говорение	говорение	名词
97	гоголевском	гоголевский	形容词
98	головы-трансплантата	голова-трансплантат	名词
99	губисполком	губисполком	名词
100	гуманистическим	гуманистический	形容词
101	даваться-даться	даваться-даться	动词
102	дамоклов	дамоклов	形容词
103	данила	данила	
104	двадца	двадец	名词
105	двувидовой	двувидовой	形容词
106	дембельское	дембельский	形容词
107	дение	дение	
108	деток	ребеночек	名词
109	джигинка	джигинк	名词
110	диалоговые	диалоговый	形容词
111	диаспорой	диаспора	名词
112	дипломант	дипломант	名词
113	дисбаланс	дисбаланс	名词
114	докладчика	докладчика	
115	донские	донский	形容词
116	допускается	допускаться	动词
117	досуши	досушить	动词
118	дошколятами	дошколенок	名词
119	древнеримский	древнеримский	形容词
120	егорушка	егорушка	名词
121	ед	ед	名词
122	ен	ен	
123	ет	ет	
124	ехамрле	ехамрло	名词
125	жан-ром	жан-ром	名词
126	желаемых	желаемый	形容词
127	жилконторы	жилконтора	名词
128	жилтоварищество	жилтоварищество	名词
129	жливо	жливый	形容词
130	журнальчик	журнальчик	名词
131	загашнике	загашник	名词
132	задействовать	задействовать	动词
133	закладывается	закладываться	动词
134	закупочные	закупочный	形容词
135	записите	записите	
136	заработную	заработный	形容词
137	зарядиться	зарядиться	动词
138	заставлях	заставлях	名词
139	затратно	затратный	形容词
140	затруднились	затрудниться	动词
141	заши	заша	名词
142	заявлени	заявлень	名词
143	ззпроблемылично	ззпроблемыличный	形容词
144	знут	знут	名词
145	зрительской	зрительский	形容词
146	ибн	ибн	助词
147	игровный	игровный	形容词
148	игрушечка	игрушечка	名词
149	ие	ие	
150	изготавливаются	изготавливаться	动词
151	издавались	издаваться	动词
152	излагавшееся	излагаться	动词
153	изобрение	изобрение	名词
154	изывается	изываться	动词
155	иммунодепрессивные	иммунодепрессивный	形容词
156	индуцированного	индуцировать	动词
157	инженера-подполковника	инженер-подполковник	名词
158	инициировал	инициировать	动词
159	инновации	инновация	名词
160	иностранцев-некатоликов	иностранец-некатолик	名词
161	интерактивный	интерактивный	
162	интуристовским	интуристовский	形容词
163	инф	инф	
164	инфинитивная	инфинитивный	形容词
165	ипатьевском	ипатьевский	形容词
166	ирован	ирован	名词
167	исалу	исало	名词
168	исполни-лось	исполни-лось	名词
169	истинаами	истинаа	名词
170	ить	ить	
171	ическ	ическ	
172	ищы	ищы	
173	йна	йна	
174	каблуки	каблуки	
175	казбич	казбич	名词
176	камбучия	камбучий	名词
177	канцеляризмы	канцеляризм	名词
178	каперне	каперна	名词
179	капин	капин	名词
180	карауин	карауин	名词
181	картриджа	картридж	名词
182	катерины	катерины	
183	кваренги	кваренга	名词
184	кеу	кеу	
185	киевская	киевская	
186	кинематографистов	кинематографист	名词
187	кинозал	кинозал	名词
188	кинотрилогии	кинотрилогия	名词
189	кинохиты	кинохит	名词
190	киотского	киотский	形容词
191	кировская	кировский	形容词
192	кладовщица	кладовщица	名词
193	клинский	клинский	形容词
194	клонирование	клонирование	名词
195	книжности	книжность	名词
196	кожистый	кожистый	形容词
197	козельской	козельский	形容词
198	козьма	козьма	
199	козьминского	козьминский	形容词
200	козьмы	козьмы	
201	коломенского	коломенский	形容词
202	коммуникабельность	коммуникабельность	名词
203	компенсируется	компенсироваться	动词
204	композиторской	композиторский	形容词
205	конкурсантов	конкурсант	名词
206	контраргумент	контраргумент	名词
207	контринформационном	контринформационный	形容词
208	контролироваться	контролироваться	动词
209	конфессий	конфессия	名词
210	королевская	королевская	
211	костромичи	костромич	名词
212	костромской	костромской	形容词
213	кошерный	кошерный	形容词
214	краснодарского	краснодарский	形容词
215	краснознаменном	краснознаменный	形容词
216	краснопрудной	краснопрудный	形容词
217	креативность	креативность	名词
218	кришма	кришма	
219	круизных	круизный	形容词
220	крывающийся	крывающийся	形容词
221	кс	кс	
222	куликовская	куликовская	
223	куликовской	куликовский	形容词
224	культурологии	культурология	名词
225	курганской	курганский	形容词
226	кустовой	кустовой	形容词
227	ландшафтного	ландшафтный	形容词
228	лаутар	лаутара	名词
229	легитимность	легитимность	名词
230	лексико-грамматический	лексико-грамматический	形容词
231	лексико-семантические	лексико-семантический	形容词
232	лексически	лексическа	名词
233	лемке	лемка	名词
234	ленинградцы	ленинградец	名词
235	ленфильм	ленфильм	名词
236	летия	летие	名词
237	литературоведческий	литературоведческий	形容词
238	ложить	ложить	动词
239	лонгрен	лонгрена	名词
240	львов-арзыланов	лев-арзылан	名词
241	лючии	лючий	名词
242	магистерской	магистерский	形容词
243	магомаев	магомаев	
244	мальчики-зайчики	мальчик-зайчик	名词
245	манга	манга	名词
246	мариинский	мариинский	形容词
247	маркес	маркес	名词
248	маркетинговая	маркетинговый	形容词
249	маркетологи	маркетолог	名词
250	межличностные	межличностный	形容词
251	мемуарной	мемуарный	形容词
252	метрополе	метрополь	名词
253	микроволновая	микроволновый	形容词
254	минздрав	минздрав	名词
255	мирлюбивый	мирлюбивый	形容词
256	мироустройства	мироустройство	名词
257	млн	млн	名词
258	мнени	мненить	动词
259	многоголовна	многоголовен	名词
260	многозадачность	многозадачность	名词
261	многоотраслевой	многоотраслевой	形容词
262	многоразовым	многоразовый	形容词
263	многофункциональным	многофункциональный	形容词
264	мобильник	мобильник	名词
265	модально-экспрессивные	модально-экспрессивный	形容词
266	мониторинг	мониторинг	名词
267	монте	монт	名词
268	монферрана	монферран	名词
269	мосфильм	мосфильм	名词
270	муромчанин	муромчанин	名词
271	муслим	муслим	
272	мэтры	мэтр	名词
273	мясникова	мясникова	
274	надавливания	надавливание	名词
275	надоедливость	надоедливость	名词
276	надомная	надомный	形容词
277	надстраиваться	надстраиваться	动词
278	намеренности	намеренность	名词
279	наносится	наноситься	动词
280	нарабатывали	нарабатывать	动词
281	нарциссизм	нарциссизм	名词
282	натовских	натовский	形容词
283	натянулся	натянуться	动词
284	наукоград	наукоград	名词
285	нацеленность	нацеленность	名词
286	нашпионит	нашпионить	动词
287	неактивные	неактивный	形容词
288	негоюв	негоюв	名词
289	недельку	неделька	名词
290	недлительное	недлительный	形容词
291	недоплатит	недоплатить	动词
292	недопонимание	недопонимание	名词
293	недочеловеки	недочеловек	名词
294	незнающий	незнающий	形容词
295	нейтральные	нейтральные	
296	ненужность	ненужность	名词
297	неоднозначные	неоднозначный	形容词
298	неординарной	неординарный	形容词
299	неповторимость	неповторимость	名词
300	непознанного	непознанный	形容词
301	неполезным	неполезный	形容词
302	непрограммистам	непрограммист	名词
303	нераспространенном	нераспространенный	形容词
304	нескоро	нескоро	副词
305	несов	несова	名词
306	несохранение	несохранение	名词
307	несхожих	несхожий	形容词
308	нетипичным	нетипичный	形容词
309	нецелованным	нецеловать	动词
310	нечаев-мальцов	нечай-малец	名词
311	низам-шах	низам-шах	名词
312	нии	нии	名词
313	никитская	никитский	形容词
314	николаевский	николаевский	形容词
315	новизности	новизность	名词
316	новичкам-блогерам	новичок-блогер	名词
317	новоделы	новодел	名词
318	новосибирский	новосибирский	形容词
319	нсв	нсв	
320	нужности	нужность	名词
321	ны	ны	
322	ный	ный	
323	обитатели-миллионщики	обитатель-миллионщик	名词
324	обладаемые	обладаемый	形容词
325	обладев	обладева	名词
326	облема	облема	名词
