бросить, 被抛弃的，被扔掉的 (形动词)
бушевать, 狂暴的，汹涌的 (形动词)
вдыхать, 吸入
вести, 带领，引导，进行
владеть, 拥有，掌握，精通
влиять, 影响，起作用
возрождаться, 复兴，复活，重生
воспринимать, 感知，接受，理解
врываться, 闯入，冲进
вспахать, 犁过的，耕作过的 (形动词)
выделить, 拨出的，划分出的 (形动词)
выпустить, 发行的，释放的 (形动词)
вырезать, 刻出，剪下，切除
делиться, 分享，分成，分裂
держать, 拿，保持，遵守
доставлять, 投递；运送；带来（麻烦/快乐）
достигать, 达到；获得；到达
достигнуть, 达到，取得 (被动形动词短尾)
дрожать, 发抖的，颤抖的 (形动词)
думать, 想，思考，认为
заболевать, 生病，患病
завоевать, 征服，赢得，博得
заметить, 注意到；发现；指出
заниматься, 从事，学习，研究
запланировать, 计划好的，预定的
зародиться, 产生，发源
заслужить, 值得，应受
заставлять, 强迫，迫使
застегнуть, 扣上(扣子等)
затягивать, 拖延，勒紧，吸引(卷入)
избегать, 避免，逃避
извлечь, 被提取，被救出 (被动形动词短尾)
излагать, 叙述，陈述
изображать, 描绘，表现，扮演
искаться, 被寻找 (或指寻找自己)
исповедовать, 信仰(宗教)的，信奉的 (形动词)
исчезать, 消失；失踪
качнуться, 摇晃，晃动一下
ликвидировать, 清除，消除，废除
ложиться, 躺下，落下
манить, 吸引，招引，诱惑
надоесть, 使厌烦；讨厌
назначать, 任命，指定
напоминать, 提醒，使人想起
начинать, 开始
носиться, 奔跑，飞驰；飘浮
обернуться, 转身
обитать, 居住；栖息（动物）
обосноваться, 定居；安家；落户
образоваться, 形成，产生
обхватить, 抱住，环抱
обходиться, 花费，对付，不需要...也能行
ограбить, 被抢劫的 (形动词)
ограничиться, 局限于；仅限于
окутать, 笼罩；包住；裹住
описывать, 描述，描写
определить, 确定，测定，下定义
опустить, 放下，垂下，省略
освободиться, 获得解放，摆脱，腾出
осознавать, 意识到，认识到
осуществить, 实现，实行
отделать, 装饰，修整
открывать, 打开，发现
отличаться, 区别于，以...为特征
отмечать, 标出，指出，庆祝
относить, 归类于，带去
отправиться, 出发；动身前往
отремонтировать, 修理
оценить, 评价，估价，赏识
погибнуть, 牺牲的，遇难的 (形动词)
подарить, 赠送，赋予
подвести, 总结，结算 (被动形动词短尾)
поддерживать, 支持；支撑；维持；维护
поделить, 分配，平分
подключать, 连接，接通
подниматься, 上升，升起，起床
поднять, 被举起的，升起的 (形动词)
подтвердить, 确认，证实
подходить, 走近，适合，匹配
поймать, 抓住，捕捉
покидать, 离开，抛弃
покинуть, 离开，抛弃
полагаться, 依赖，指望 / 应当
помогать, 帮助
попадать, 命中，落入，陷入
поправить, 纠正，修理，整理
посвятить, 献给...的，致力于...的 (形动词)
поселить, 使定居，安置
поставить, 放置；建立；提出（问题/目标）
постоять, 站一会儿；捍卫
посылать, 发送，寄
потребовать, 要求；需要
похоронить, 埋葬，安葬
праздновать, 庆祝；过节
превратиться, 变成，转化为
предоставить, 提供，给予，交给
предоставлять, 提供；给予（正式）
представить, 提交；展示；想象；介绍
прекращаться, 停止，中止
преподнести, 赠送，呈现，带来
прибывать, 到达，抵达，增加
придерживаться, 坚持，遵循，秉持
прижиматься, 紧贴，依偎
признать, 承认，认清
прильнуть, 紧贴，依偎
приобрести, 获得，取得，买到
приписать, 添写上；归因于；算作
приспосабливаться, 适应，习惯于
притягиваться, 互相吸引
приходиться, 不得不，必须 (无人称动词)
пробить, 击穿，打通
провести, 进行；度过（时间）；引导
пропустить, 错过，漏掉，让...通过
проститься, 告别，辞行
противостоять, 抵抗，对抗
прощаться, 告别，辞行
развить, 发展，使发达
разлетаться, 飞散，散开
различать, 区分；辨别
разучивать, 练习，学会
распахнуть, 敞开，猛地推开
рассматривать, 审视，考虑，审查
расстаться, 分手，告别，离开
расширять, 扩大，拓宽，扩张
рисковать, 冒险
сжаться, 收缩，紧缩，蜷缩
склеиться, 粘合在一起
следовать, 跟随，遵循，应该
сломаться, 坏掉，折断
совершить, 完成，实现，犯(错误)
совладать, 克服，控制，制服
содействовать, 协助，促进，促成
соответствовать, 符合，适应，一致
сочувствовать, 同情
спасаться, 拯救，逃生 (副动词)
спасти, 拯救，挽救
спорить, 争论；辩论
спускаться, 下降，走下，降落
сушить, 使干燥，烘干
существовать, 存在，生存
сформировать, 形成，塑造，组建
сформироваться, 形成，成型
считаться, 考虑到，被认为是，结账
терпеть, 忍受的，遭受的 (形动词)
увлекаться, 沉迷于，热衷于
угрожать, 威胁，恐吓
удерживать, 保持，保留，阻止
упрекать, 责备，指责
уступать, 让步，逊色于，让给
утверждать, 肯定；断言；批准
ухаживать, 照料，护理，追求
характеризовать, 描述特征，表明...的特点
ходить, 走，行走 (定向动词)
хранить, 保存，保留，保管
наста́ивать, 坚持，主张
сли́пнуться, 粘在一起
оде́ться, 穿好衣服
дости́чь, 达到，获得，取得
соблюда́ться, 被遵守，被执行
возде́йствовать, 影响，作用
постуча́ть, 敲了敲
извини́ться, 道歉，请原谅
определя́ть, 确定，定义，分配
поступа́ть, 行为，做，进入
взве́сить, 称重，权衡
прису́тствовать, 出席，存在
