Азия, 亚洲
Атлантика, 大西洋
Африка, 非洲
Британия, 不列颠 (英国)
Вселенная, 宇宙
агент, 代理人；特工；因素
ансамбль, 建筑群，乐团，整体
археология, 考古学
аспирант, 研究生（博士在读）
атмосфера, 大气，气氛，环境
бассейн, 游泳池，水池，流域
беда, 灾难，不幸，麻烦
благо, 财富，幸福，利益
верста, 俄里 (俄罗斯旧长度单位)
вершина, 山峰，顶点，顶峰
веселье, 欢乐，愉快
вещество, 物质
взгляд, 目光，观点，看法
взрыв, 爆炸
вилка, 叉子，插头
вклад, 贡献；存款
власть, 权力；政权；当局
волнение, 激动，不安，波浪
выбор, 选择
галактика, 星系
генерация, 一代；产生；生成
гибель, 死亡，毁灭，遇难
голосование, 投票；表决
гонка, 竞赛；追逐；赶工
гражданин, 公民
гран, 格令 (重量单位) / 微量
груз, 货物，负荷
губа, 嘴唇
гудок, 喇叭声，汽笛声
декларация, 宣言，声明，报关单
депрессия, 抑郁，萧条
диспозиция, 部署，配置
дистанция, 距离，路程
договор, 合同，条约，协议
доля, 部分，份额，命运
донор, 捐献者(献血/献器官等)
дракон, 龙
духи, 香水 / дух (精神, 灵魂) 的复数
жилище, 住所；住宅
забастовка, 罢工
завод, 工厂，制造厂
заповедник, 自然保护区
запрет, 禁止，禁令
застенчивость, 腼腆，害羞，羞怯
заявление, 声明；申请
заём, 贷款，借款
зверёк, 小动物；小兽
игра, 游戏，比赛，表演
изготовитель, 制造者，生产商
империя, 帝国
инструкция, 指示，说明书
инструмент, 工具，乐器
интеллигенция, 知识分子 (总称)
истина, 真理，真相
итог, 结果，总计 (通常用复数)
карантин, 隔离，检疫
катание, 滑行；骑行；兜风
категория, 范畴，类别，等级
колесо, 轮子，车轮
количество, 数量；数目
коллектив, 集体；团队
колокол, 钟
команда, 团队；命令
комплекс, 综合体，建筑群，全套
консерватория, 音乐学院
консультант, 顾问
конь, 马
коньки, 溜冰鞋（通常只用复数）
кора, 树皮，地壳
корабль, 船，舰
коробка, 盒子，箱子
край, 边缘，地区，边疆区
кризис, 危机
крик, 叫喊，喊声
крыло, 翅膀，机翼
курорт, 疗养地，度假区
кусочек плотного вещества, 致密物质的碎片
кухня, 厨房，菜系
лавочка, 小长凳，小店铺
лагерь, 营地；阵营
ласка, 爱抚，亲昵
лауреат, 获奖者
легенда, 传说，传奇
лексика, 词汇，词汇量
линия, 线，路线，方针
личность, 人格，个性，个人
лишение, 剥夺，丧失
марка, 邮票，品牌
материал, 材料，资料，素材
медик, 医生，医学生
месторождение, 矿床，产地
металл, 金属
механика, 机械学，力学
минерал, 矿物
наблюдение, 观察，监视
награда, 奖励，奖品，报酬
надежда, 希望
наместник, 总督，代理人
находка, 发现物，意外的收获
национальность, 民族；国籍
новизна, 新颖性；新鲜感
новинка, 新产品，新事物
норма, 规范，标准，定额
нужда, 需要，贫困
нянька, 保姆 (口语)
область, 州，领域，范围
обострение, 尖锐化，加剧，恶化
обрыв, 悬崖，陡岸
обувь, 鞋类
общество, 社会；协会；公司
одеяло, 毯子，被子
олень, 鹿
опасность, 危险
опора, 支柱，依靠，支撑点
организация, 组织，机构
орнитолог, 鸟类学家
осуществление, 实现，实行
открытие, 发现，开幕，开放
